,HERIDOS,MUERTOS,SOLO_DAÃ‘OS
0,64,2,17
1,132,1,366
2,595,3,243
3,772,7,369
4,504,2,270
5,214,3,137
6,128,1,146
7,159,6,78
8,190,1,50
9,263,2,108
10,167,2,247
11,181,1,307
12,64,1,79
13,104,0,197
14,386,3,97
15,470,2,111
16,99,2,68
17,573,7,328
18,513,7,670
19,1402,17,2212
20,90,1,63
21,176,4,87
22,9,0,2
23,306,4,246
24,1047,6,1387
25,114,2,43
26,227,1,107
27,543,5,262
28,161,2,69
29,81,2,27
30,62,1,25
31,457,3,477
32,560,7,666
33,202,2,129
34,189,1,178
35,1186,11,1098
36,378,2,205
37,359,5,136
38,608,0,384
39,382,4,425
40,237,1,196
41,610,5,1005
42,365,3,175
43,1944,24,2180
44,901,7,303
45,770,9,165
46,2257,24,2156
47,1361,7,1619
48,83,1,21
49,1907,17,666
50,455,2,594
51,158,1,117
52,106,0,105
53,144,2,152
54,434,9,379
55,971,26,1455
56,351,2,157
57,975,19,931
58,614,5,563
59,739,1,264
60,196,1,216
61,418,5,104
62,492,5,127
63,30,0,12
64,86,1,195
65,1054,19,985
66,78,0,30
67,83,2,26
68,250,3,136
69,760,1,242
70,93,1,165
71,727,3,652
72,197,5,232
73,128,0,60
74,340,4,188
75,423,3,910
76,263,1,78
77,927,2,851
78,103,3,39
79,352,3,124
80,514,1,331
81,96,1,64
82,134,0,47
83,355,3,210
84,49,1,15
85,212,1,402
86,41,0,8
87,366,2,312
88,468,10,178
89,617,13,576
90,134,0,98
91,691,3,471
92,589,3,529
93,136,0,123
94,246,1,110
95,401,7,390
96,403,0,189
97,82,2,16
98,311,0,135
99,690,7,330
100,227,2,235
101,198,7,135
102,1085,8,1226
103,1415,34,2066
104,530,11,370
105,64,0,71
106,105,3,95
107,1096,27,869
108,52,1,17
109,110,2,49
110,668,2,253
111,741,9,1088
112,512,5,807
113,578,8,517
114,114,1,50
115,2123,28,2935
116,348,2,365
117,298,4,208
118,71,1,25
119,552,5,116
120,94,0,24
121,405,4,316
122,268,1,568
123,174,0,83
124,158,0,74
125,543,1,409
126,99,0,77
127,139,2,55
128,51,0,30
129,214,1,105
130,11,0,21
131,197,0,90
132,310,7,178
133,214,3,167
134,353,2,275
135,264,1,203
136,245,3,86
137,286,2,101
138,174,3,55
139,420,3,137
140,15,0,2
141,55,0,95
142,654,6,871
143,603,8,384
144,241,7,142
145,205,0,54
146,828,15,272
147,60,0,12
148,195,0,348
149,126,0,165
150,207,0,141
151,187,2,167
152,317,2,231
153,239,4,134
154,684,11,821
155,48,0,13
156,183,2,208
157,695,3,235
158,462,8,458
159,464,3,217
160,287,5,160
161,265,1,169
162,667,2,491
163,111,3,234
164,162,0,574
165,152,3,77
166,1231,9,726
167,1639,20,2098
168,362,4,144
169,154,0,311
170,574,5,549
171,610,4,1178
172,755,11,384
173,481,2,186
174,633,7,237
175,111,2,71
176,28,0,11
177,35,1,5
178,393,2,223
179,630,3,417
180,42,0,41
181,75,0,23
182,833,21,491
183,226,0,116
184,248,1,66
185,1165,13,1531
186,88,1,84
187,266,2,161
188,72,1,25
189,31,2,15
190,139,1,44
191,291,8,181
192,72,4,14
193,60,2,30
194,77,0,26
195,246,1,152
196,231,3,124
197,418,9,279
198,200,1,165
199,367,3,591
200,721,7,173
201,1896,15,2212
202,68,0,8
203,600,1,171
204,215,3,102
205,78,1,50
206,328,1,135
207,1147,14,866
208,718,5,308
209,797,8,700
210,18,0,5
211,1471,28,1938
212,596,9,404
213,1149,12,1698
214,355,5,291
215,726,5,277
216,509,4,213
217,187,1,103
218,321,7,336
219,28,1,7
220,19,0,1
221,47,1,140
222,455,1,158
223,567,4,240
224,268,0,70
225,499,7,446
226,236,4,73
227,1811,21,1545
228,394,4,151
229,163,1,91
230,161,1,54
231,372,8,595
232,259,2,139
233,19,1,6
234,149,0,131
235,429,8,98
236,394,5,107
237,136,2,37
238,668,10,584
239,223,2,188
240,4,0,1
241,77,0,147
242,456,4,219
243,697,9,953
244,544,5,174
245,489,7,508
246,1332,19,1555
247,473,13,330
248,24,0,32
249,548,5,419
250,620,6,448
251,161,0,141
252,47,1,80
253,941,12,892
254,487,6,397
255,273,7,80
256,354,3,155
257,34,0,23
258,885,11,1334
259,519,0,301
260,270,3,90
261,406,1,148
262,99,0,21
263,118,2,53
264,1387,19,1502
265,35,0,8
266,282,3,144
267,340,2,129
